Country,Region,pays_fr,pays_en,code_iso3,region_oms,continent,sous_region_onu
albania,Europe,Albanie,Albania,ALB,Europe,Europe,Southern Europe
andorra,Europe,Andorre,Andorra,AND,Europe,Europe,Southern Europe
armenia,Europe,Arménie,Armenia,ARM,Europe,Asia,Western Asia
australia,Western Pacific,Australie,Australia,AUS,Western Pacific,Oceania,Australia and New Zealand
austria,Europe,Autriche,Austria,AUT,Europe,Europe,Western Europe
azerbaijan,Europe,Azerbaïdjan,Azerbaijan,AZE,Europe,Asia,Western Asia
bahrain,Eastern Mediterranean,Bahreïn,Bahrain,BHR,Eastern Mediterranean,Asia,Western Asia
bangladesh,South-East Asia,Bangladesh,Bangladesh,BGD,South-East Asia,Asia,Southern Asia
belarus,Europe,Belgique,Belgium,BEL,Europe,Europe,Western Europe
belgium,Europe,Bhoutan,Bhutan,BTN,South-East Asia,Asia,Southern Asia
bhutan,South-East Asia,Bosnie-Herzégovine,Bosnia and Herzegovina,BIH,Europe,Europe,Southern Europe
bosnia and herzegovina,Europe,Brésil,Brazil,BRA,Americas,Americas,South America
botswana,Africa,Botswana,Botswana,BWA,Africa,Africa,Southern Africa
brazil,Americas,Cambodge,Cambodia,KHM,Western Pacific,Asia,South-eastern Asia
bulgaria,Europe,Chili,Chile,CHL,Americas,Americas,South America
cambodia,Western Pacific,,,,,,
canada,Americas,Canada,Canada,CAN,Americas,Americas,Northern America
chile,Americas,Congo-Brazzaville,Congo,COG,Africa,Africa,Middle Africa
china,Western Pacific,Croatie,Croatia,HRV,Europe,Europe,Southern Europe
colombia,Americas,Chypre,Cyprus,CYP,Europe,Asia,Western Asia
congo,Africa,Tchéquie,Czechia,CZE,Europe,Europe,Eastern Europe
costa rica,Americas,Costa Rica,Costa Rica,CRI,Americas,Americas,Central America
croatia,Europe,Corée du Nord,Democratic People's Republic of Korea,PRK,South-East Asia,Asia,Eastern Asia
cyprus,Europe,Danemark,Denmark,DNK,Europe,Europe,Northern Europe
czechia,Europe,Équateur,Ecuador,ECU,Americas,Americas,South America
cote divoire,Africa,Salvador,El Salvador,SLV,Americas,Americas,Central America
democratic people's republic of korea,South-East Asia,Estonie,Estonia,EST,Europe,Europe,Northern Europe
denmark,Europe,Éthiopie,Ethiopia,ETH,Africa,Africa,Eastern Africa
ecuador,Americas,Finlande,Finland,FIN,Europe,Europe,Northern Europe
el salvador,Americas,Gambie,Gambia,GMB,Africa,Africa,Western Africa
estonia,Europe,Géorgie,Georgia,GEO,Europe,Asia,Western Asia
eswatini,Africa,Eswatini,Eswatini,SWZ,Africa,Africa,Southern Africa
ethiopia,Africa,Grèce,Greece,GRC,Europe,Europe,Southern Europe
finland,Europe,Grenade,Grenada,GRD,Americas,Americas,Caribbean
france,Europe,France,France,FRA,Europe,Europe,Western Europe
gambia,Africa,Islande,Iceland,ISL,Europe,Europe,Northern Europe
georgia,Europe,Inde,India,IND,South-East Asia,Asia,Southern Asia
germany,Europe,Iran,Iran (Islamic Republic of),IRN,Eastern Mediterranean,Asia,Southern Asia
ghana,Africa,Ghana,Ghana,GHA,Africa,Africa,Western Africa
greece,Europe,Irlande,Ireland,IRL,Europe,Europe,Northern Europe
grenada,Americas,Israël,Israel,ISR,Europe,Asia,Western Asia
guatemala,Americas,Guatemala,Guatemala,GTM,Americas,Americas,Central America
honduras,Americas,Honduras,Honduras,HND,Americas,Americas,Central America
hungary,Europe,Jordanie,Jordan,JOR,Eastern Mediterranean,Asia,Western Asia
iceland,Europe,Koweït,Kuwait,KWT,Eastern Mediterranean,Asia,Western Asia
india,South-East Asia,Kirghizstan,Kyrgyzstan,KGZ,Europe,Asia,Central Asia
iran (islamic republic of),Eastern Mediterranean,Laos,Lao People's Democratic Republic,LAO,Western Pacific,Asia,South-eastern Asia
iraq,Eastern Mediterranean,Lettonie,Latvia,LVA,Europe,Europe,Northern Europe
ireland,Europe,Liban,Lebanon,LBN,Eastern Mediterranean,Asia,Western Asia
israel,Europe,Lituanie,Lithuania,LTU,Europe,Europe,Northern Europe
italy,Europe,Malaisie,Malaysia,MYS,Western Pacific,Asia,South-eastern Asia
japan,Western Pacific,Malte,Malta,MLT,Europe,Europe,Southern Europe
jordan,Eastern Mediterranean,Mexique,Mexico,MEX,Americas,Americas,Central America
kazakhstan,Europe,Kazakhstan,Kazakhstan,KAZ,Europe,Asia,Central Asia
kenya,Africa,Kenya,Kenya,KEN,Africa,Africa,Eastern Africa
kuwait,Eastern Mediterranean,Maroc,Morocco,MAR,Eastern Mediterranean,Africa,Northern Africa
kyrgyzstan,Europe,Népal,Nepal,NPL,South-East Asia,Asia,Southern Asia
lao people's democratic republic,Western Pacific,Pays-Bas,Netherlands,NLD,Europe,Europe,Western Europe
latvia,Europe,Nouvelle-Zélande,New Zealand,NZL,Western Pacific,Oceania,Australia and New Zealand
lebanon,Eastern Mediterranean,Macédoine du Nord,Republic of North Macedonia,MKD,Europe,Europe,Southern Europe
