iso3;country_en;country_fr;who_region;continent;un_subregion
DZA;Algeria;Algérie;Africa;Africa;Northern Africa
AGO;Angola;Angola;Africa;Africa;Middle Africa
BEN;Benin;Bénin;Africa;Africa;Western Africa
BWA;Botswana;Botswana;Africa;Africa;Southern Africa
BFA;Burkina Faso;Burkina Faso;Africa;Africa;Western Africa
BDI;Burundi;Burundi;Africa;Africa;Eastern Africa
CPV;Cabo Verde;Cap-Vert;Africa;Africa;Western Africa
CMR;Cameroon;Cameroun;Africa;Africa;Middle Africa
CAF;Central African Republic;République centrafricaine;Africa;Africa;Middle Africa
TCD;Chad;Tchad;Africa;Africa;Middle Africa
COM;Comoros;Comores;Africa;Africa;Eastern Africa
COG;Congo;Congo-Brazzaville;Africa;Africa;Middle Africa
CIV;Côte d'Ivoire;Côte d’Ivoire;Africa;Africa;Western Africa
COD;Democratic Republic of the Congo;Congo-Kinshasa;Africa;Africa;Middle Africa
GNQ;Equatorial Guinea;Guinée équatoriale;Africa;Africa;Middle Africa
ERI;Eritrea;Érythrée;Africa;Africa;Eastern Africa
SWZ;Eswatini;Eswatini;Africa;Africa;Southern Africa
ETH;Ethiopia;Éthiopie;Africa;Africa;Eastern Africa
GAB;Gabon;Gabon;Africa;Africa;Middle Africa
GMB;Gambia;Gambie;Africa;Africa;Western Africa
GHA;Ghana;Ghana;Africa;Africa;Western Africa
GIN;Guinea;Guinée;Africa;Africa;Western Africa
GNB;Guinea-Bissau;Guinée-Bissau;Africa;Africa;Western Africa
KEN;Kenya;Kenya;Africa;Africa;Eastern Africa
LSO;Lesotho;Lesotho;Africa;Africa;Southern Africa
LBR;Liberia;Liberia;Africa;Africa;Western Africa
MDG;Madagascar;Madagascar;Africa;Africa;Eastern Africa
MWI;Malawi;Malawi;Africa;Africa;Eastern Africa
MLI;Mali;Mali;Africa;Africa;Western Africa
MRT;Mauritania;Mauritanie;Africa;Africa;Western Africa
MUS;Mauritius;Maurice;Africa;Africa;Eastern Africa
MYT;Mayotte;Mayotte;Africa;Africa;Eastern Africa
MOZ;Mozambique;Mozambique;Africa;Africa;Eastern Africa
NAM;Namibia;Namibie;Africa;Africa;Southern Africa
NER;Niger;Niger;Africa;Africa;Western Africa
NGA;Nigeria;Nigeria;Africa;Africa;Western Africa
RWA;Rwanda;Rwanda;Africa;Africa;Eastern Africa
REU;Réunion;La Réunion;Africa;Africa;Eastern Africa
SHN;Saint Helena, Ascension and Tristan da Cunha;Sainte-Hélène;Africa;Africa;Western Africa
STP;Sao Tome and Principe;Sao Tomé-et-Principe;Africa;Africa;Middle Africa
SEN;Senegal;Sénégal;Africa;Africa;Western Africa
SYC;Seychelles;Seychelles;Africa;Africa;Eastern Africa
SLE;Sierra Leone;Sierra Leone;Africa;Africa;Western Africa
ZAF;South Africa;Afrique du Sud;Africa;Africa;Southern Africa
SSD;South Sudan;Soudan du Sud;Africa;Africa;Eastern Africa
TGO;Togo;Togo;Africa;Africa;Western Africa
UGA;Uganda;Ouganda;Africa;Africa;Eastern Africa
TZA;United Republic of Tanzania;Tanzanie;Africa;Africa;Eastern Africa
ESH;Western Sahara;Sahara occidental;Africa;Africa;Northern Africa
ZMB;Zambia;Zambie;Africa;Africa;Eastern Africa
ZWE;Zimbabwe;Zimbabwe;Africa;Africa;Eastern Africa
AIA;Anguilla;Anguilla;Americas;America;Caribbean
ATG;Antigua and Barbuda;Antigua-et-Barbuda;Americas;America;Caribbean
ARG;Argentina;Argentine;Americas;America;South America
ABW;Aruba;Aruba;Americas;America;Caribbean
BHS;Bahamas;Bahamas;Americas;America;Caribbean
BRB;Barbados;Barbade;Americas;America;Caribbean
BLZ;Belize;Belize;Americas;America;Central America
BMU;Bermuda;Bermudes;Americas;America;Northern America
BOL;Bolivia (Plurinational State of);Bolivie;Americas;America;South America
